,0,1,2,3,4,5,6,7,8
,0,1,2,3,4,5,6,7,8
0,712026,5,21717,15490,0.99,82,0.008,41,0.002
,0,1,2,3,4,5,6,7,8
0,771105,5,55737,37717,0.99,205,0.008,107,0.002
,0,1,2,3,4,5,6,7,8
0,755201,5,39569,25370,0.99,99,0.009,46,0.001
,0,1,2,3,4,5,6,7,8
0,100000484010,5,69880,19600,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,100009134386,5,1406,247,0.98,1,0.004,2,0.016
,0,1,2,3,4,5,6,7,8
0,63278266737,5,28,5,0.83,1,0.17,0,0.0
,0,1,2,3,4,5,6,7,8
0,100000995449,5,27561,8526,0.99,15,0.01,8,0.0
,0,1,2,3,4,5,6,7,8
0,31728549647,5,367,134,0.98,1,0.013,1,0.007
,0,1,2,3,4,5,6,7,8
0,100000491173,5,69881,19601,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,100010504780,5,14562,3407,0.99,18,0.006,14,0.004
,0,1,2,3,4,5,6,7,8
0,100006781093,5,7231,3860,0.99,8,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100007660890,5,8339,1817,0.99,4,0.009,3,0.001
,0,1,2,3,4,5,6,7,8
0,100013042654,5,18787,2843,0.97,38,0.021,28,0.009
,0,1,2,3,4,5,6,7,8
0,10023076060232,5,17073,2202,0.97,21,0.009,30,0.021
,0,1,2,3,4,5,6,7,8
0,10023857680163,5,2,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100009214855,5,235,49,0.98,0,0.0,1,0.02
,0,1,2,3,4,5,6,7,8
0,49906389045,5,4133,1055,0.99,4,0.003,5,0.007
,0,1,2,3,4,5,6,7,8
0,10369655196,5,17346,10280,0.98,53,0.005,74,0.015
,0,1,2,3,4,5,6,7,8
0,63056011121,5,1222,323,0.96,8,0.026,5,0.014
,0,1,2,3,4,5,6,7,8
0,100013662720,5,103920,58283,0.98,285,0.004,381,0.016
,0,1,2,3,4,5,6,7,8
0,10022625019258,5,169,61,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,67977937366,5,80,15,0.93,0,0.0,1,0.07
,0,1,2,3,4,5,6,7,8
0,100016381606,5,38065,7693,0.99,36,0.008,20,0.002
,0,1,2,3,4,5,6,7,8
0,10023507377959,5,6,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,20245550094,5,452,166,0.98,2,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,10025642541937,5,1,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10025927830051,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023598009493,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,19585567950,5,5037,1923,0.99,8,0.007,6,0.003
,0,1,2,3,4,5,6,7,8
0,18389644882,5,1268,679,0.98,3,0.004,4,0.016
,0,1,2,3,4,5,6,7,8
0,60360807612,5,179,26,0.89,2,0.076,1,0.034
,0,1,2,3,4,5,6,7,8
0,41279644792,5,786,296,0.97,4,0.017,4,0.013
,0,1,2,3,4,5,6,7,8
0,10021913036610,5,29,5,0.83,1,0.17,0,0.0
,0,1,2,3,4,5,6,7,8
0,1950414,5,219038,105070,0.99,369,0.007,347,0.003
,0,1,2,3,4,5,6,7,8
0,49906389036,5,4133,1055,0.99,4,0.003,5,0.007
,0,1,2,3,4,5,6,7,8
0,100016924634,5,51,4,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10021445199296,5,1573,300,0.98,4,0.014,2,0.006
,0,1,2,3,4,5,6,7,8
0,100009701858,5,69874,19594,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,100003975234,5,41809,7550,0.98,65,0.014,50,0.006
,0,1,2,3,4,5,6,7,8
0,100005567929,5,3776,687,0.98,9,0.015,4,0.005
,0,1,2,3,4,5,6,7,8
0,26657051946,5,1557,408,0.98,3,0.013,3,0.007
,0,1,2,3,4,5,6,7,8
0,66877228470,5,91,18,0.94,1,0.06,0,0.0
,0,1,2,3,4,5,6,7,8
0,1001909381,5,445,244,0.97,4,0.022,2,0.008
,0,1,2,3,4,5,6,7,8
0,72264231627,5,112,24,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10021445199303,5,1573,300,0.98,4,0.014,2,0.006
,0,1,2,3,4,5,6,7,8
0,100006307101,5,2714,689,0.98,9,0.013,5,0.007
,0,1,2,3,4,5,6,7,8
0,1010795662,5,5622,3641,0.91,242,0.069,84,0.021
,0,1,2,3,4,5,6,7,8
0,67094207130,5,2165,497,0.97,6,0.011,7,0.019
,0,1,2,3,4,5,6,7,8
0,5434577,5,16722,11898,0.99,37,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,100007467455,5,2729,400,0.99,4,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100004537586,5,16721,11897,0.99,37,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,10026123064763,5,276,59,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,46089055670,5,1844,1686,0.99,4,0.002,6,0.008
,0,1,2,3,4,5,6,7,8
0,10025859697196,5,634,144,0.97,3,0.024,1,0.006
,0,1,2,3,4,5,6,7,8
0,29859280493,5,4310,2944,0.98,24,0.008,26,0.012
,0,1,2,3,4,5,6,7,8
0,61922702789,5,2219,551,0.92,25,0.05,18,0.03
,0,1,2,3,4,5,6,7,8
0,43203255464,5,341,96,0.96,1,0.01,2,0.03
,0,1,2,3,4,5,6,7,8
0,100006307101,5,2714,689,0.98,9,0.013,5,0.007
,0,1,2,3,4,5,6,7,8
0,100009701858,5,69874,19594,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,100003975234,5,41809,7550,0.98,65,0.014,50,0.006
,0,1,2,3,4,5,6,7,8
0,26657051946,5,1557,408,0.98,3,0.013,3,0.007
,0,1,2,3,4,5,6,7,8
0,66877228470,5,91,18,0.94,1,0.06,0,0.0
,0,1,2,3,4,5,6,7,8
0,1001909381,5,445,244,0.97,4,0.022,2,0.008
,0,1,2,3,4,5,6,7,8
0,10845786138,5,89002,24357,0.97,325,0.012,377,0.018
,0,1,2,3,4,5,6,7,8
0,72264231627,5,112,24,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10021445199303,5,1573,300,0.98,4,0.014,2,0.006
,0,1,2,3,4,5,6,7,8
0,1010795662,5,5622,3641,0.91,242,0.069,84,0.021
,0,1,2,3,4,5,6,7,8
0,28120878746,5,82,49,0.96,1,0.021,1,0.019
,0,1,2,3,4,5,6,7,8
0,67094207130,5,2165,497,0.97,6,0.011,7,0.019
,0,1,2,3,4,5,6,7,8
0,100011204186,5,5701,1212,0.98,11,0.016,6,0.004
,0,1,2,3,4,5,6,7,8
0,5434577,5,16722,11898,0.99,37,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,40420452327,5,1612,261,0.97,3,0.019,3,0.011
,0,1,2,3,4,5,6,7,8
0,100007467455,5,2729,400,0.99,4,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100004537586,5,16721,11897,0.99,37,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,46089055670,5,1844,1686,0.99,4,0.002,6,0.008
,0,1,2,3,4,5,6,7,8
0,66644254994,5,280,69,0.97,2,0.03,0,0.0
,0,1,2,3,4,5,6,7,8
0,64422161868,5,1255,276,0.95,5,0.017,8,0.033
,0,1,2,3,4,5,6,7,8
0,10025859697196,5,634,144,0.97,3,0.024,1,0.006
,0,1,2,3,4,5,6,7,8
0,29859280493,5,4310,2944,0.98,24,0.008,26,0.012
,0,1,2,3,4,5,6,7,8
0,61922702789,5,2219,551,0.92,25,0.05,18,0.03
,0,1,2,3,4,5,6,7,8
0,43203255464,5,341,96,0.96,1,0.01,2,0.03
,0,1,2,3,4,5,6,7,8
0,1950414,5,219040,105072,0.99,369,0.007,347,0.003
,0,1,2,3,4,5,6,7,8
0,10020653681097,5,998,221,0.98,2,0.012,2,0.008
,0,1,2,3,4,5,6,7,8
0,41526524973,5,2065,700,0.94,19,0.025,24,0.035
,0,1,2,3,4,5,6,7,8
0,320465,5,14288,7793,0.97,173,0.023,57,0.007
,0,1,2,3,4,5,6,7,8
0,2144022,5,3492,2449,0.99,12,0.006,10,0.004
,0,1,2,3,4,5,6,7,8
0,2375371,5,54676,17475,0.98,126,0.015,100,0.005
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10025512273818,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100009862561,5,304,185,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,36753015399,5,665,171,0.97,3,0.025,1,0.005
,0,1,2,3,4,5,6,7,8
0,10022941152195,5,412,55,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,71217759161,5,2869,1614,0.98,9,0.016,8,0.004
,0,1,2,3,4,5,6,7,8
0,10020626632548,5,517,94,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,6161958,5,103922,58285,0.98,285,0.004,381,0.016
,0,1,2,3,4,5,6,7,8
0,10024368692465,5,19,8,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023818066640,5,1912,324,0.95,11,0.033,6,0.017
,0,1,2,3,4,5,6,7,8
0,12305713191,5,453,167,0.98,2,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,10103572439,5,6670,2315,0.95,41,0.016,65,0.034
,0,1,2,3,4,5,6,7,8
0,10023512774485,5,5,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,988552,5,342731,166464,0.99,590,0.009,322,0.001
,0,1,2,3,4,5,6,7,8
0,10023935111314,5,1564,418,0.96,10,0.034,3,0.006
,0,1,2,3,4,5,6,7,8
0,53431659991,5,358,104,0.98,2,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,68580491581,5,418,127,0.98,2,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,42025669393,5,1640,989,0.99,1,0.001,2,0.009
,0,1,2,3,4,5,6,7,8
0,10016572878,5,3073,1395,0.98,8,0.005,12,0.015
,0,1,2,3,4,5,6,7,8
0,56693902163,5,852,215,0.98,3,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023629883589,5,4,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,69766006459,5,75,15,0.93,1,0.07,0,0.0
,0,1,2,3,4,5,6,7,8
0,10024661058791,5,93,14,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,70211644144,5,79,15,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10022236188915,5,3209,575,0.96,7,0.011,11,0.029
,0,1,2,3,4,5,6,7,8
0,100004770147,5,5524,1305,0.98,15,0.015,7,0.005
,0,1,2,3,4,5,6,7,8
0,100017214758,5,304,185,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,49906389031,5,4133,1055,0.99,4,0.003,5,0.007
,0,1,2,3,4,5,6,7,8
0,10026001508822,5,209,27,0.96,0,0.0,1,0.04
,0,1,2,3,4,5,6,7,8
0,64940712457,5,95,31,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10022184031786,5,943,224,0.98,2,0.016,1,0.004
,0,1,2,3,4,5,6,7,8
0,10022430725237,5,9,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,60360807612,5,179,26,0.89,2,0.076,1,0.034
,0,1,2,3,4,5,6,7,8
0,10021623239105,5,2,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,41279644792,5,786,296,0.97,4,0.017,4,0.013
,0,1,2,3,4,5,6,7,8
0,10021913036610,5,29,5,0.83,1,0.17,0,0.0
,0,1,2,3,4,5,6,7,8
0,49906389036,5,4133,1055,0.99,4,0.003,5,0.007
,0,1,2,3,4,5,6,7,8
0,100005567929,5,3776,687,0.98,9,0.015,4,0.005
,0,1,2,3,4,5,6,7,8
0,100016924634,5,51,4,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10021445199296,5,1573,300,0.98,4,0.014,2,0.006
,0,1,2,3,4,5,6,7,8
0,100009701858,5,69874,19594,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,100003975234,5,41809,7550,0.98,65,0.014,50,0.006
,0,1,2,3,4,5,6,7,8
0,26657051946,5,1557,408,0.98,3,0.013,3,0.007
,0,1,2,3,4,5,6,7,8
0,100007968338,5,7926,1734,0.97,26,0.021,16,0.009
,0,1,2,3,4,5,6,7,8
0,19433195930,5,234,135,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,66877228470,5,91,18,0.94,1,0.06,0,0.0
,0,1,2,3,4,5,6,7,8
0,100008197197,5,2176,292,0.98,3,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,1001909381,5,445,244,0.97,4,0.022,2,0.008
,0,1,2,3,4,5,6,7,8
0,72264231627,5,112,24,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,2374364,5,54677,17476,0.98,126,0.015,100,0.005
,0,1,2,3,4,5,6,7,8
0,10021445199303,5,1573,300,0.98,4,0.014,2,0.006
,0,1,2,3,4,5,6,7,8
0,1010795662,5,5622,3641,0.91,242,0.069,84,0.021
,0,1,2,3,4,5,6,7,8
0,28120878746,5,82,49,0.96,1,0.021,1,0.019
,0,1,2,3,4,5,6,7,8
0,67094207130,5,2165,497,0.97,6,0.011,7,0.019
,0,1,2,3,4,5,6,7,8
0,5434577,5,16722,11898,0.99,37,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,10021461611780,5,3866,829,0.96,11,0.012,18,0.028
,0,1,2,3,4,5,6,7,8
0,10022326466168,5,115,18,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100007467455,5,2729,400,0.99,4,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100004537586,5,16721,11897,0.99,37,0.009,21,0.001
,0,1,2,3,4,5,6,7,8
0,46089055670,5,1844,1686,0.99,4,0.002,6,0.008
,0,1,2,3,4,5,6,7,8
0,64422161868,5,1255,276,0.95,5,0.017,8,0.033
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,56294024442,5,175,47,0.94,1,0.02,2,0.04
,0,1,2,3,4,5,6,7,8
0,529875,5,47913,30257,0.98,234,0.016,140,0.004
,0,1,2,3,4,5,6,7,8
0,65360625706,5,1810,313,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,32842826157,5,732,173,0.93,5,0.027,7,0.043
,0,1,2,3,4,5,6,7,8
0,10020307080938,5,121,28,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100007820711,5,6131,848,0.99,3,0.003,4,0.007
,0,1,2,3,4,5,6,7,8
0,10024933834507,5,64,39,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10690896536,5,49485,28461,0.99,75,0.002,79,0.008
,0,1,2,3,4,5,6,7,8
0,3692931,5,145581,66113,0.98,672,0.014,459,0.006
,0,1,2,3,4,5,6,7,8
0,529872,5,14818,10249,0.97,196,0.022,94,0.008
,0,1,2,3,4,5,6,7,8
0,544978,5,52305,38917,0.98,448,0.014,276,0.006
,0,1,2,3,4,5,6,7,8
0,100016719594,5,1899,218,0.99,0,0.0,1,0.01
,0,1,2,3,4,5,6,7,8
0,10022316061796,5,1161,1025,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,65588620645,5,1811,314,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,10023516480241,5,133,24,0.88,2,0.083,1,0.037
,0,1,2,3,4,5,6,7,8
0,4124132,5,145581,66113,0.98,672,0.014,459,0.006
,0,1,2,3,4,5,6,7,8
0,62433300885,5,11962,2131,0.97,19,0.008,36,0.022
,0,1,2,3,4,5,6,7,8
0,46214597454,5,2811,335,0.98,2,0.005,3,0.015
,0,1,2,3,4,5,6,7,8
0,70877664528,5,32,10,0.9,0,0.0,1,0.1
,0,1,2,3,4,5,6,7,8
0,529874,5,13966,10311,0.97,161,0.024,68,0.006
,0,1,2,3,4,5,6,7,8
0,72225182096,5,1810,313,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,72225182099,5,1810,313,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,10020879976427,5,732,173,0.93,5,0.027,7,0.043
,0,1,2,3,4,5,6,7,8
0,10022757565474,5,2256,298,0.97,5,0.017,4,0.013
,0,1,2,3,4,5,6,7,8
0,70242068123,5,55,4,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,72225182098,5,1810,313,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,33618068744,5,1365,593,0.95,15,0.024,16,0.026
,0,1,2,3,4,5,6,7,8
0,10024987281416,5,81,36,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10020307080940,5,121,28,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10020879976429,5,732,173,0.93,5,0.027,7,0.043
,0,1,2,3,4,5,6,7,8
0,544978,5,52305,38917,0.98,448,0.014,276,0.006
,0,1,2,3,4,5,6,7,8
0,5295243,5,7888,3778,0.99,13,0.009,6,0.001
,0,1,2,3,4,5,6,7,8
0,29257166374,5,971,526,0.99,2,0.003,3,0.007
,0,1,2,3,4,5,6,7,8
0,10020879976428,5,732,173,0.93,5,0.027,7,0.043
,0,1,2,3,4,5,6,7,8
0,30769142750,5,971,526,0.99,2,0.003,3,0.007
,0,1,2,3,4,5,6,7,8
0,10023516480243,5,134,25,0.89,2,0.075,1,0.035
,0,1,2,3,4,5,6,7,8
0,529875,5,47911,30257,0.98,234,0.016,140,0.004
,0,1,2,3,4,5,6,7,8
0,10023375870331,5,133,24,0.88,2,0.083,1,0.037
,0,1,2,3,4,5,6,7,8
0,10020652687694,5,60,52,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10691956774,5,1364,799,0.96,19,0.025,13,0.015
,0,1,2,3,4,5,6,7,8
0,70877664530,5,32,10,0.9,0,0.0,1,0.1
,0,1,2,3,4,5,6,7,8
0,32927705355,5,971,526,0.99,2,0.003,3,0.007
,0,1,2,3,4,5,6,7,8
0,30769142751,5,971,526,0.99,2,0.003,3,0.007
,0,1,2,3,4,5,6,7,8
0,10022034248658,5,1413,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,44699948710,5,34,7,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10330331318,5,682,605,0.97,9,0.018,8,0.012
,0,1,2,3,4,5,6,7,8
0,10020861229318,5,972,527,0.99,2,0.003,3,0.007
,0,1,2,3,4,5,6,7,8
0,10024933834509,5,64,39,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,70242068123,5,55,4,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,32842826156,5,732,173,0.93,5,0.027,7,0.043
,0,1,2,3,4,5,6,7,8
0,70877664528,5,32,10,0.9,0,0.0,1,0.1
,0,1,2,3,4,5,6,7,8
0,30769142752,5,971,526,0.99,2,0.003,3,0.007
,0,1,2,3,4,5,6,7,8
0,10022316907965,4,11,2,0.66,0,0.0,1,0.34
,0,1,2,3,4,5,6,7,8
0,10025268831550,5,22,4,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,46151608843,5,80218,16704,0.95,430,0.034,294,0.016
,0,1,2,3,4,5,6,7,8
0,10024933834510,5,64,39,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,48970969425,5,361,65,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,10020198913624,4,17,5,0.83,0,0.0,1,0.17
,0,1,2,3,4,5,6,7,8
0,10020198913625,4,17,5,0.83,0,0.0,1,0.17
,0,1,2,3,4,5,6,7,8
0,100005381583,5,345,64,0.98,0,0.0,1,0.02
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,740670,5,441237,321997,0.99,1692,0.008,728,0.002
,0,1,2,3,4,5,6,7,8
0,2349418,5,1924901,1004301,0.98,6978,0.015,5384,0.005
,0,1,2,3,4,5,6,7,8
0,100009491584,5,17292,3471,0.98,28,0.015,18,0.005
,0,1,2,3,4,5,6,7,8
0,1012888150,5,1435,451,0.97,3,0.006,10,0.024
,0,1,2,3,4,5,6,7,8
0,10020923797391,5,1146,505,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100017020534,5,586138,112646,0.98,1468,0.016,491,0.004
,0,1,2,3,4,5,6,7,8
0,10024439235710,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023516480249,5,133,24,0.88,2,0.083,1,0.037
,0,1,2,3,4,5,6,7,8
0,100008837714,5,5499,1062,0.98,6,0.015,6,0.005
,0,1,2,3,4,5,6,7,8
0,65000675868,5,2338,424,0.95,15,0.041,4,0.009
,0,1,2,3,4,5,6,7,8
0,48970969425,5,361,65,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,59533350759,5,108,32,0.94,1,0.031,1,0.029
,0,1,2,3,4,5,6,7,8
0,10024439217868,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10020198913623,4,17,5,0.83,0,0.0,1,0.17
,0,1,2,3,4,5,6,7,8
0,4284734,5,2665,1231,0.99,7,0.009,2,0.001
,0,1,2,3,4,5,6,7,8
0,10330331316,5,682,605,0.97,9,0.018,8,0.012
,0,1,2,3,4,5,6,7,8
0,10020307080943,5,121,28,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10026349834398,5,9336,2182,0.98,22,0.014,15,0.006
,0,1,2,3,4,5,6,7,8
0,46733624835,5,245,91,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,40990730809,5,4075,1125,0.96,24,0.028,15,0.012
,0,1,2,3,4,5,6,7,8
0,10024122166747,5,60,52,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,59610255528,5,175,47,0.94,1,0.02,2,0.04
,0,1,2,3,4,5,6,7,8
0,10024122166742,5,60,52,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023619649817,5,5054,960,0.99,6,0.007,3,0.003
,0,1,2,3,4,5,6,7,8
0,736082,5,3070,1099,0.98,8,0.013,8,0.007
,0,1,2,3,4,5,6,7,8
0,56294024442,5,175,47,0.94,1,0.02,2,0.04
,0,1,2,3,4,5,6,7,8
0,49732824342,5,1057,152,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100016217682,5,1553,275,0.98,1,0.003,2,0.017
,0,1,2,3,4,5,6,7,8
0,72225182100,5,1812,315,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,26052895349,5,1151,299,0.98,4,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,10025651590790,5,25503,3430,0.98,38,0.015,20,0.005
,0,1,2,3,4,5,6,7,8
0,49732824342,5,1057,152,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,10025106083102,5,28,3,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023516480246,5,133,24,0.88,2,0.083,1,0.037
,0,1,2,3,4,5,6,7,8
0,100016217682,5,1553,275,0.98,1,0.003,2,0.017
,0,1,2,3,4,5,6,7,8
0,71437736951,5,37,6,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10024296260531,5,1,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100017020534,5,586138,112646,0.98,1468,0.016,491,0.004
,0,1,2,3,4,5,6,7,8
0,10026377862500,5,44,28,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,72225182100,5,1812,315,0.96,10,0.034,2,0.006
,0,1,2,3,4,5,6,7,8
0,4284734,5,2665,1231,0.99,7,0.009,2,0.001
,0,1,2,3,4,5,6,7,8
0,64259634804,5,5241,810,0.98,7,0.014,5,0.006
,0,1,2,3,4,5,6,7,8
0,740670,5,441237,321997,0.99,1692,0.008,728,0.002
,0,1,2,3,4,5,6,7,8
0,10330331312,5,682,605,0.97,9,0.018,8,0.012
,0,1,2,3,4,5,6,7,8
0,10024608548980,5,11,2,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10026349834398,5,9336,2182,0.98,22,0.014,15,0.006
,0,1,2,3,4,5,6,7,8
0,33611704296,5,499,135,0.97,2,0.023,1,0.007
,0,1,2,3,4,5,6,7,8
0,18505120951,5,512,461,0.99,2,0.006,2,0.004
,0,1,2,3,4,5,6,7,8
0,68071805440,5,12,2,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,18714178876,5,891,442,0.98,2,0.004,7,0.016
,0,1,2,3,4,5,6,7,8
0,10025441675204,3,10,1,0.5,0,0.0,1,0.5
,0,1,2,3,4,5,6,7,8
0,10022617329653,5,110,19,0.95,0,0.0,1,0.05
,0,1,2,3,4,5,6,7,8
0,10023516480248,5,133,24,0.88,2,0.083,1,0.037
,0,1,2,3,4,5,6,7,8
0,64453690110,5,8220,1224,0.97,16,0.019,15,0.011
,0,1,2,3,4,5,6,7,8
0,100017002614,5,69870,19590,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,10025644814448,5,25573,3500,0.98,38,0.015,20,0.005
,0,1,2,3,4,5,6,7,8
0,10020307080942,5,121,28,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10023102556903,5,26,7,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,40990730809,5,4075,1125,0.96,24,0.028,15,0.012
,0,1,2,3,4,5,6,7,8
0,50240959536,5,4,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10024985104021,5,1,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,5489899,5,18024,12454,0.99,38,0.009,20,0.001
,0,1,2,3,4,5,6,7,8
0,56294024440,5,175,47,0.94,1,0.02,2,0.04
,0,1,2,3,4,5,6,7,8
0,10020198913629,4,17,5,0.83,0,0.0,1,0.17
,0,1,2,3,4,5,6,7,8
0,100001070973,5,1924889,1004290,0.98,6978,0.015,5384,0.005
,0,1,2,3,4,5,6,7,8
0,72456997110,5,10,3,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,48814976579,5,19,6,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10020198913625,4,17,5,0.83,0,0.0,1,0.17
,0,1,2,3,4,5,6,7,8
0,10330331311,5,682,605,0.97,9,0.018,8,0.012
,0,1,2,3,4,5,6,7,8
0,56294024441,5,175,47,0.94,1,0.02,2,0.04
,0,1,2,3,4,5,6,7,8
0,32111387813,5,28805,7936,0.99,27,0.009,10,0.001
,0,1,2,3,4,5,6,7,8
0,7606904,5,7387,2601,0.97,39,0.014,41,0.016
,0,1,2,3,4,5,6,7,8
0,10024987281416,5,81,36,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
