,0,1,2,3,4,5,6,7,8
0,326467,5,1602282,926792,0.99,3122,0.009,1570,0.001
,0,1,2,3,4,5,6,7,8
0,100005275282,5,27405,4365,0.99,17,0.003,19,0.007
,0,1,2,3,4,5,6,7,8
0,100009920744,5,56572,27529,0.99,60,0.01,26,0.0
,0,1,2,3,4,5,6,7,8
0,100005118616,5,39341,8346,0.98,78,0.014,52,0.006
,0,1,2,3,4,5,6,7,8
0,1158155,5,61870,32408,0.99,81,0.009,38,0.001
,0,1,2,3,4,5,6,7,8
0,1527952,5,741319,363201,0.99,471,0.01,306,0.0
,0,1,2,3,4,5,6,7,8
0,63113665600,5,120,65,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100005118616,5,39341,8346,0.98,78,0.014,52,0.006
,0,1,2,3,4,5,6,7,8
0,1158155,5,61870,32408,0.99,81,0.009,38,0.001
,0,1,2,3,4,5,6,7,8
0,1527952,5,741319,363201,0.99,471,0.01,306,0.0
,0,1,2,3,4,5,6,7,8
0,37339712459,5,49749,11689,0.97,131,0.02,121,0.01
,0,1,2,3,4,5,6,7,8
0,100004563922,5,7498,1197,0.99,5,0.009,2,0.001
,0,1,2,3,4,5,6,7,8
0,326467,5,1602282,926792,0.99,3122,0.009,1570,0.001
,0,1,2,3,4,5,6,7,8
0,10025038786556,5,353,301,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10024600829512,5,3142,627,0.97,9,0.021,6,0.009
,0,1,2,3,4,5,6,7,8
0,730615,5,164452,89312,0.99,396,0.008,225,0.002
,0,1,2,3,4,5,6,7,8
0,3931352,5,135289,62459,0.99,313,0.008,155,0.002
,0,1,2,3,4,5,6,7,8
0,4536454,5,525931,299796,0.99,828,0.009,415,0.001
,0,1,2,3,4,5,6,7,8
0,988552,5,342197,166393,0.99,590,0.009,322,0.001
,0,1,2,3,4,5,6,7,8
0,63120758246,5,19374,3618,0.96,65,0.025,59,0.015
,0,1,2,3,4,5,6,7,8
0,29350788113,5,13947,3229,0.96,74,0.024,54,0.016
,0,1,2,3,4,5,6,7,8
0,100007314880,5,52331,7284,0.98,62,0.018,19,0.002
,0,1,2,3,4,5,6,7,8
0,1158151,5,211432,147719,0.99,696,0.008,378,0.002
,0,1,2,3,4,5,6,7,8
0,42778831255,5,17041,3191,0.96,55,0.016,57,0.024
,0,1,2,3,4,5,6,7,8
0,679518,5,201278,142916,0.99,701,0.009,236,0.001
,0,1,2,3,4,5,6,7,8
0,5464171,5,674391,375543,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,1178893,5,925185,573619,0.98,3978,0.015,3054,0.005
,0,1,2,3,4,5,6,7,8
0,40049105480,5,54406,9735,0.97,158,0.021,97,0.009
,0,1,2,3,4,5,6,7,8
0,29614171750,5,55091,15995,0.96,242,0.014,302,0.026
,0,1,2,3,4,5,6,7,8
0,1227173,5,94132,64609,0.98,587,0.017,221,0.003
,0,1,2,3,4,5,6,7,8
0,548353,5,203624,116774,0.99,280,0.009,120,0.001
,0,1,2,3,4,5,6,7,8
0,5056157,5,42494,15352,0.99,97,0.008,34,0.002
,0,1,2,3,4,5,6,7,8
0,100008535082,5,43527,18395,0.99,96,0.007,63,0.003
,0,1,2,3,4,5,6,7,8
0,13110600402,5,4898,1667,0.98,15,0.013,13,0.007
,0,1,2,3,4,5,6,7,8
0,38444598029,5,16612,5717,0.98,37,0.014,35,0.006
,0,1,2,3,4,5,6,7,8
0,7510732,5,19321,4131,0.99,15,0.009,7,0.001
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100014963928,5,15378,2070,0.98,21,0.017,8,0.003
,0,1,2,3,4,5,6,7,8
0,4438401,5,37312,24152,0.99,48,0.009,26,0.001
,0,1,2,3,4,5,6,7,8
0,4969661,5,145070,100964,0.99,190,0.009,145,0.001
,0,1,2,3,4,5,6,7,8
0,10226217969,5,29263,12099,0.98,104,0.008,106,0.012
,0,1,2,3,4,5,6,7,8
0,28931042151,5,3612,1109,0.99,5,0.007,4,0.003
,0,1,2,3,4,5,6,7,8
0,1022328,5,28867,18777,0.99,74,0.009,36,0.001
,0,1,2,3,4,5,6,7,8
0,100009628711,5,1452,1276,0.99,0,0.0,2,0.01
,0,1,2,3,4,5,6,7,8
0,10022321682885,5,39546,34485,0.99,188,0.007,129,0.003
,0,1,2,3,4,5,6,7,8
0,988585,5,151405,85586,0.99,449,0.008,210,0.002
,0,1,2,3,4,5,6,7,8
0,3692931,5,145438,66065,0.98,671,0.014,458,0.006
,0,1,2,3,4,5,6,7,8
0,10025163350502,5,257,227,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,25097428733,5,22639,12401,0.98,96,0.007,97,0.013
,0,1,2,3,4,5,6,7,8
0,543176,5,182229,107584,0.99,299,0.009,149,0.001
,0,1,2,3,4,5,6,7,8
0,2130989,5,39389,25362,0.99,99,0.009,46,0.001
,0,1,2,3,4,5,6,7,8
0,3444503,5,473064,324284,0.99,982,0.009,583,0.001
,0,1,2,3,4,5,6,7,8
0,65216247951,5,44201,8110,0.96,146,0.026,121,0.014
,0,1,2,3,4,5,6,7,8
0,10021714022299,5,10065,4237,0.99,9,0.002,13,0.008
,0,1,2,3,4,5,6,7,8
0,60494274271,5,4905,946,0.98,13,0.016,4,0.004
,0,1,2,3,4,5,6,7,8
0,100007313436,5,6774,1315,0.99,13,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,5464207,5,60364,40241,0.99,84,0.009,76,0.001
,0,1,2,3,4,5,6,7,8
0,100005589527,5,33746,7128,0.98,99,0.016,34,0.004
,0,1,2,3,4,5,6,7,8
0,1178887,5,400959,224963,0.99,779,0.008,477,0.002
,0,1,2,3,4,5,6,7,8
0,100016343828,5,2271,1441,0.99,3,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100017473174,5,674393,375545,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,46119069535,5,12249,1778,0.98,12,0.017,7,0.003
,0,1,2,3,4,5,6,7,8
0,5464179,5,22619,15804,0.99,58,0.008,32,0.002
,0,1,2,3,4,5,6,7,8
0,100008671293,5,60652,30017,0.99,145,0.008,64,0.002
,0,1,2,3,4,5,6,7,8
0,2792942,5,132876,84078,0.99,223,0.009,117,0.001
,0,1,2,3,4,5,6,7,8
0,1994794,5,12601,7485,0.99,37,0.007,26,0.003
,0,1,2,3,4,5,6,7,8
0,10020892790789,5,5747,1053,0.97,12,0.011,14,0.019
,0,1,2,3,4,5,6,7,8
0,1178879,5,1400329,816823,0.99,2377,0.009,1587,0.001
,0,1,2,3,4,5,6,7,8
0,100002041020,5,311764,131731,0.99,406,0.009,158,0.001
,0,1,2,3,4,5,6,7,8
0,10020892790789,5,5747,1053,0.97,12,0.011,14,0.019
,0,1,2,3,4,5,6,7,8
0,5663818,5,674394,375546,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,100009074740,5,322594,152071,0.99,407,0.009,214,0.001
,0,1,2,3,4,5,6,7,8
0,100006499967,5,334620,100291,0.99,432,0.008,237,0.002
,0,1,2,3,4,5,6,7,8
0,100010504780,5,14552,3394,0.99,17,0.006,14,0.004
,0,1,2,3,4,5,6,7,8
0,100006057989,5,90862,19204,0.98,135,0.016,84,0.004
,0,1,2,3,4,5,6,7,8
0,69965912392,5,6824,1060,0.98,12,0.012,9,0.008
,0,1,2,3,4,5,6,7,8
0,4054792,5,110684,32942,0.99,111,0.009,59,0.001
,0,1,2,3,4,5,6,7,8
0,5520505,5,20422,6365,0.99,22,0.009,8,0.001
,0,1,2,3,4,5,6,7,8
0,17830310265,5,4139,1013,0.97,14,0.024,7,0.006
,0,1,2,3,4,5,6,7,8
0,10026185707956,5,5,2,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,65099528975,5,5161,873,0.97,10,0.02,9,0.01
,0,1,2,3,4,5,6,7,8
0,3816695,5,119163,49661,0.97,648,0.02,535,0.01
,0,1,2,3,4,5,6,7,8
0,10024941581461,5,4044,733,0.95,17,0.032,14,0.018
,0,1,2,3,4,5,6,7,8
0,5663800,5,60367,40244,0.99,84,0.009,76,0.001
,0,1,2,3,4,5,6,7,8
0,1439645198,5,35102,17577,0.99,52,0.008,48,0.002
,0,1,2,3,4,5,6,7,8
0,10552030243,5,18090,10570,0.98,64,0.016,50,0.004
,0,1,2,3,4,5,6,7,8
0,100009802865,5,2233,725,0.99,4,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,3195208,5,334623,100294,0.99,432,0.008,237,0.002
,0,1,2,3,4,5,6,7,8
0,10025671512831,5,1061,153,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,70659174285,5,39540,34479,0.99,188,0.007,129,0.003
,0,1,2,3,4,5,6,7,8
0,5587243,5,674363,375516,0.99,727,0.01,341,0.0
